cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,topic_keywords,topic_name
bafyreicaj4vkqkbskgpzmyoobcturgpvkpzvon5iuvni7wjv2t463u4rbu,"The riches thought to lie beneath Greenland's icy terrain have been coveted for more than a century. But how easy are they to access, and will climate change make any difference?

www.bbc.com/future/artic...",Resource expansion drilling,Anti-Drilling,22,"climate, change, talk, denier, taking","greenland, arctic, ice melts, melts, melting, shipping, shipping lanes, greenland climate, ice, ice sheet",70_greenland_arctic_ice melts_melts
bafyreiexnjldrmrydsup7mzmwufmj43w3cgtvwhfdmtxvm4w3i73bh4jum,"This is the key to the business/climate change dynamic that I really havenât seen much press about. *Anything* made either without emissions, or to address new climate challenges is an opportunity for a new industry to pop up out of thin air. Ludicrous economic opportunity in clean technology.",Clean Energy Push,Clean energy,31,"production, funding, opportunity, red, personal",,-1_clean energy_social_green_bsky social
bafyreiekmn6yqjffu45dnlzzvmx5t4zhvmt5bw5svfoojt4mb2t6odmycy,Joe Biden helped build billions of dollars of clean energy manufacturing in historically Republican areas of the USA.,Clean Energy Push,Clean energy,91,"power, nuclear, million, capitalism, u",,-1_clean energy_social_green_bsky social
bafyreifgahquod5xdw3qy7s2rlewqlwrovagvujpvr7lkt34onuf3pi74q,Discover how discarded wood particles are revolutionizing lithium ion capacitors for sustainable energy storage in the Basque Country.,Renewable Energy Momentum,Anti-Deforestation,73,"current, large, within, meeting, happened","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreihbbqyvaq7hpbfd25slbwk6mquvvt6v4vjnn7du3qhitz5a6gwhk4,My provocation is that green hydrogen production is going to play a major role in seasonal energy storage just because a use for all of the excess electricity generated during the summer months from PV will be something so many people will be interested in taking advantage of.,Water pollution crisis,Clean energy,23,"role, region, university, significant, play","hydrogen, green hydrogen, hydrogen production, fuelcellsworks, fuelcellsworks com, hydrogen clean, hydrogen technology, blue hydrogen, oman, electrolysis",75_hydrogen_green hydrogen_hydrogen production_fuelcellsworks
bafyreiexty5gaveh5vvuufl4pklr2s6t2seiwx62ua4ik2lkbraggjddwi,So.....all this Greenland talk is reminding me how the ice shelf/sheets are collapsing there because of climate change and how it's contributing to sea level rise. And that will eventually trigger coastal flooding.,Deadly Heat Crisis,Climate Wildfires,24,"climatechange, info, ecosearch, climate, change",,-1_clean energy_social_green_bsky social
bafyreige5rr3yfqq6fqlroe6yi552y35epe33aj4dljcquv732aeaghzvq,"At the end of the day, quibbling over the budget misses the larger issue: Doing the preventative work to stop these fires from getting as out of control as they do, and how climate change takes these events from minor and moderate to severe and deadly.",Climate-fueled wildfires,Climate Wildfires,7,"development, love, working, free, sustainable","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreia4rgkpqlaxo3lwzorndlvyqeyyqow4hg3ao2pmlhhprgrxjlizei,"ARC: behind the vision for a better world

ARC promotes a vision for prosperity and unity despite connections to free-market thinktanks, climate denial, dark money and the fossil fuel industry.",MAGA Climate Deception,Anti-Big Oil,52,"denial, latest, drive, bring, paper",,-1_clean energy_social_green_bsky social
bafyreifkyffdplcshcsbl2t3s7qknj6udn7oicbcywju5cimgxgskuv4qa,"In H school back in 1968, part of our gepgraphy syllabus dealt with the supposed danger the world was running out of finite supplies of fossil fuel. That danger became real a few years later, with the oil price hike in early '70s, and the damage to the world economy.",Climate legal accountability,Anti-Big Oil,84,"sure, demand, job, lead, needed",,-1_clean energy_social_green_bsky social
bafyreihot5artgygdhdl6ngy6ev4cvckfwfztagwxnuawny63zg7zyd6l4,"Very helpful to see countries publicly supporting the 90% by 2040 climate target again! 
It's good for competitiveness, innovation, reducing fossil fuel imports, cleantech leadership aaaaand the climate.

Time to work, we need agreement on 2040 & EU NDC before summer!
www.reuters.com/sustainabili...",Clean Energy Push,Clean energy,49,"many, money, cause, people, climate",,-1_clean energy_social_green_bsky social
bafyreiee7nrnw4hcba7ua2lacha3iywonnp5ensifnedumgc4kvbuntevq,"Irreplaceable old-growth forests are logged daily. 96% of global deforestation hits tropics,6.6M ha in 2022 alone. Over 1,200 arrested to save them. No more delays. No to deforestation of our remaining forest #ProtectTheIrreplaceable #ClimateAction",Deforestation & Wildlife Crisis,Anti-Deforestation,13,"life, planet, human, house, right","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreighblinohuk66ixpkwxzpic7v2jyfisqndswrvuwaidj2ramnpqtu,"ð¡Other issues:
- #Migration: âhuman but not naiveâ
- #Digital: time for a European AI
- #Agriculture: protecting farmers from unfair trading practices 
- #Energy: no Russian fossil fuels - clean European energy instead, including nuclear power",Water resilience,Clean energy,99,"energy, clean, renewable, green, bill","ai, data centers, centers, data, ai data, data center, llm, chatbot, intelligence, robotics",3_ai_data centers_centers_data
bafyreifdidwwpibdkkroubautjxbofahnn62reyr7pop3ct42k63hbsryu,"ð Zero Hourâs response to The Climate Change Committeeâs Carbon Budget 7.

1ï¸â£ The climate-nature crisis is hitting the UK hardâflooding, coastal erosion, peatland loss and heatwaves. The impacts are worse than expected, straining communities and ecosystems. ð§µ",Climate injustice exposed,Water pollution,25,"cut, already, fight, etc, infrastructure",,-1_clean energy_social_green_bsky social
bafyreiefi3o3s25s43x6fz4gbqvtamvg7yz6mo7s7iezr7xkube7nqmz3y,"NEPA Joins Global Community on September 7 to Highlight Dangers of Air Pollution
->Jamaica Information Service | #AirPollution | More info from EcoSearch",Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreie3d65lphcfafb6bxlf3gds3hf6j3yscjzamyconjfcmbwux35xmi,"@heatmap.news shared that transitioning to clean energy could help us avoid the energy price spikes and trade risks we deal with right now. In other words, it could make the world a lot less vulnerable to energy-related problems and make trade wars much less common.

#CleanEnergy #Trade #Renewables",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill","enkiai, clean energy, cleanenergy, energy stocks, clean, renewableenergy info, enkiai com, contact enkiai, cleanenergy info, enkiai insights",25_enkiai_clean energy_cleanenergy_energy stocks
bafyreicq6rjurfets6rgia6plu3yz6xwufmmdr7oitz7y6dsibvqzx7xba,"And since there's no need for sidewalks, nor private transit, there's inherent safety. 

This would bring more people back into the community fold and encourage people to enrich their lives. It also eliminates an incredible amount of air and water pollution.",Water resilience,Water pollution,49,"many, money, cause, people, climate","transport, transit, bus, sustainable transport, trains, transportation, bike, cycling, public transport, bikes",19_transport_transit_bus_sustainable transport
bafyreifl6doif4jxjujmw7pikkixrqyvifodopszchpjkk2aqgxjjb472a,"Mechanized agriculture and intensive irrigation resulted in increased concentration of CO2 and other greenhouse gases in the atmosphere, massive sediment loss, chemical pollution, altered water systems and species loss. #SpeciesLoss",Water resilience,Anti-Deforestation,34,"using, massive, approach, planning, accelerating",,-1_clean energy_social_green_bsky social
bafyreif35wnexy4mgybrgu6gmtf5mqgwr2lzuhbwfn2vv57ivqqw5qmfzy,"The Inflation Reduction Act is already delivering climate progress with $400B invested in clean energy, lower energy bills, and new jobs. Urge your Governor and legislators to protect these climate investments: www.eldersclimateaction.org/actions

#InflationReductionAct #ClimateAction",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreieig2p6rakjqs3jhkq6qlxlqmtpqy5q4lxz5ipcfuinx3wshpcvea,"Is Western Europe ready to do the same with cars? Planes?
""Other measures include upgrading waste-treatment plants, using digital tools to monitor pollution and introducing stricter penalties for violators. Whistleblowers could be rewarded for reporting environmental breaches"" [â¦]",Water pollution crisis,Water pollution,98,"around, lost, texas, south, killing","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreiaatzgeafc6v75oepbs7ix7zkgkrghg7tkj5ahbep5ze5d736z2yi,"The 2030 one is even worse, global warming doesn't even scratch the surface. The greed of these people is unparalleled :)",Capitalism's climate doom,Anti-Big Oil,88,"global, warming, course, ice, half",,-1_clean energy_social_green_bsky social
bafyreicfieymnhni62umu6londkkfboxeksr744ytjdr7zzdbl5qb26vpi,"AÂ V2G studyÂ conducted for the Australian Renewable Energy Agency found with the right settings, electric vehicle owners could earn as much as $12,000 a year by selling energy back to the grid.

#ElectricVehicles 

#auspol 

thedriven.io/2025/02/08/h...",EV transition barriers,Clean energy,45,"could, cost, source, instead, would",,-1_clean energy_social_green_bsky social
bafyreibhhj7kfl6dzabajc7tfsm5yc47tfco3dhmam34llh5gqmjwssr4a,"Finally, also on June 26th, Simone Vaccari showed how MLOps enhances cloud-based EO ecosystems, demonstrating its potential to enable innovative and sustainable geospatial solutions.
www.slideshare.net/slideshow/lp...",Climate action collaboration,Clean energy,63,"solution, better, carbon, reduce, technology","ai, data centers, centers, data, ai data, data center, llm, chatbot, intelligence, robotics",3_ai_data centers_centers_data
bafyreig56npdzrrxvdkopqhfeku22hrxmg55g3pbeubtbmd2lpcza7e7te,(for legal (and social) reasons: that was a *joke*. I know they're both bc of climate change),Climate unease,Climate Wildfires,40,"climate, yes, change, deforestation, nature","denial, climate denial, denialism, change denial, conspiracy, change hoax, explaining, hoax, deny climate, science",17_denial_climate denial_denialism_change denial
bafyreihg3xo4dqbvyw6hrgs6d77g4s6y6sza7blxhcqferyfgass6ewsje,"My mom grew up in Coleman, it was my second home in my childhood years. So, so beautiful with great fishing and such beautiful mountains. I oppose ALL coal mining by that wretched billionaire:",End fossil fuels,Anti-Big Oil,6,"back, call, family, via, break","coal mining, coal, mining, miners, slopes, eastern slopes, mining coal, mines, eastern, alberta",12_coal mining_coal_mining_miners
bafyreih2lceuw6gbfjfjx6gpzu7cnteckexzafieblahvqdm7f32tljqhy,"Clean energy is faster, better, cheaper. Fossil fuels are slower, worse, more expensive.

What do we do next?

âthe biggest culprits behind rising [utility bills] include fossil fuels and the climate change impacts they cause, not clean energyâ

energyinnovation.org/publication/...",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreicsx5ygfngcot4oja7indbex7zxyzervumiry4qpdd4w3c52op4fe,"âIn 2021, more than 140 countries around the world promised to put an end to deforestation by the end of the decade.â www.vox.com/climate/4137... - @vox.com 

#climatechange #deforestation #forests #trees #wildfires",Deforestation & Wildlife Crisis,Anti-Deforestation,40,"climate, yes, change, deforestation, nature","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreihlo2yxrz4tww5wxfxhwzvzodgy2snbiwb7qwypssd5puvpmoixtq,Enablers of Pollution Agency.  They can keep even the EPA stationery,Climate rollbacks,Water pollution,57,"see, ca, find, old, light","epa, trump epa, repeal, agency, greenhouse gas, greenhouse, epa plans, limits, finding, epa trump",32_epa_trump epa_repeal_agency
bafyreibuoxh5kmq3paig7bae2aruapakg4grninkwnxsv44thbnxaarl2y,"Today, I was thrilled to join ESD Commissioner Hope Knight today in Endicott for BAE Systemsâ expansion of its next-generation battery innovation operations. This investment brings up to 134 new jobs to the Southern Tier and strengthens our regionâs leadership in clean energy.",Climate action collaboration,Clean energy,99,"energy, clean, renewable, green, bill","esg, business tinyurl, 1256 grant, com financialhel, financialhel, got 1256, 1256, grant business, learn got, grant",78_esg_business tinyurl_1256 grant_com financialhel
bafyreihoctv6icbfzmn4mjml66ee6eeuhtdjxvfk75iiwdnf3vrpeoi63e,Climate change driving this nonsense. Folks getting cancelled all over for flood and fire risk -,Climate injustice exposed,Climate Wildfires,70,"fire, climate, change, point, post",,-1_clean energy_social_green_bsky social
bafyreiddbgbj5vcuaccwo3qbgsagrw36ngv6mmlgrekan7uinnj5yr2v3a,Nope...still there. Still pushing fossil-fuel agenda for the mining community.,End fossil fuels,Anti-Big Oil,68,"still, everyone, idea, yet, greenwashing","coal mining, coal, mining, miners, slopes, eastern slopes, mining coal, mines, eastern, alberta",12_coal mining_coal_mining_miners
bafyreicqgibljk56sg2vsgg57s76wuxebyfaog4z3c376jbdwf5y766ymi,Charge Elmo with pollution.,Corporate Climate Accountability,Water pollution,81,"pollution, air, city, show, focus",,-1_clean energy_social_green_bsky social
bafyreidlh4nulso7ixkfiqx4fq6ijefbswkuj7s7ckwb2ib3eig3ybkv2u,The chase rates could be really sustainable,EV transition barriers,Clean energy,45,"could, cost, source, instead, would",,-1_clean energy_social_green_bsky social
bafyreifhvrhvzyn4tlyd54325sc7hcqrlmsg3ngmtoik57uzhd2gf7b22u,"Canadian forests are increasingly primed for severe, uncontrollable wildfires, a study published Thursday said, underlining what the authors described as a pressing need to proactively mitigate the ""increased threat posed by climate change.""
www.nationalobserver.com/2025/01/02/n...",Climate-fueled wildfires,Climate Wildfires,21,"week, generation, past, happen, per","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
